 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Anita B 	  My kids loved it, me not so much.
 Thomas S 	  The Lego Batman Movie is the funniest thing you'll ever watch! The plot was great! There was nothing wrong with this movie!
 Gary C 	  Saw this in 4DX with my 12 year old nephew. Surprisingly I actually really enjoyed it.
 Lee M 	  Its third act can't be over fast enough, but Lego Batman is still about as funny and sharp as its predecessor.
 Isadore H 	  Will Arnet proves that his hilarious voice acting as batsman in The Lego Movie can stand on its own here. Once again, the jokes come at you at blistering speed, and it can be difficult to keep up. When the film slows down to insert its family friendly themes, it came to an absurdly jarring halt. However, this movie did what I wanted it to, which was make me laugh. A lot
 Jeffrey H 	  Great to watch whether it's with your kids or on your own!!!Feel good flick!
 Sarah T 	  Fantastic story & pacing!
 Ben C 	  The best movie featuring Batman in almost a decade. So much better than BvsS!
 Brandon D 	  Very funny with a wonderful story with hints of Toy Story. Good fun
 Venissia%20 P 	  The best batman movie that ever existed, all the references to the old franchises, the animation, the feels, everything was perfect. 10/10 will buy the DVD
 Josh L 	  Funny with a good story.
 Adam D 	  bloody brilliant. funny for both kids and adults alike. jokes come thick and fast and the story is a lot of fun too
 Ellen C 	  So much fun to watch. Will own it.
 Andy D 	  4 stars. Fast paced, funny movie. Worth a watch if you like Batman
 Chris A 	  So... watching Batman hit on Batgirl was really creepy based on past knowledge... Judging this films on its own merits is something I had to force myself to do. I really love how much this film when into the Dark Knights history. It was really funny and really detailed and you would not even recognize it if you knew nothing about Batman. Its a good film with a good message.
 Fred H 	  Perfect family fun with lots of historical Batman in-jokes.
 Dinesh J 	  Fun fun fun! but no story, if u like stories.
 Matthew R 	  A shell of The Lego Movie. Entertaining for the kids, but lacks the humor and charm of what launched a potential movie franchise.
 Jarrod J 	  Everything About Lego Batman is AwesomeLet??s face it: there are several reasons why laugh-out-loud comedies don??t win Oscars. Not the least of which is that the judges are a dour lot of people who hate fun, but also because it??s easy to make an audience laugh. It??s an easy emotion to garner from an audience. An audience??s natural inclination is to laugh, regardless of the piece that they??re seeing. Make a scene uncomfortable enough, and an audience will laugh. It requires so little effort that when it comes to judging such films, one must do so with an extra critical eye. That being said, Lego Batman is the masterpiece of mirth the world needed (though not the one it deserves). With its soon-to-be legendary humor, its twists on the character and the genre, and its endearing character development, Lego Batman, like the toy, is well constructed, and fun for all ages.Back by popular demand, Will Arnett reprises his role as the Lego Batman: an egotistical superhero who writes and sings his own theme songs by night, and a reclusive billionaire waiting for the night by day. The Joker (Zach Galifianakis), determined to get Batman to crawl out of his emotionless shell and get him to admit that he hates The Joker above all others, hatches a nefarious plan to recruit the most eclectic group of supervillains ever formed. In order to stop him, Batman must face his fear of letting people in, and team up with his butler Alfred (Ralph Fiennes), Commissioner Barbara Gordon (Rosario Dawson), and his newly adopted son, Dick Grayson (Michael Cera).Of course they had almost 80 years of Batman history to riff about, and while they didn't miss a facet in this Batman roast, the humor went so much further beyond that. An artistic melding of script and actor lead to some of the best delivered jokes this side of the decade. With so much wit that they got away with a Robin's-name-is-Dick joke while still flying under the PG radar. The pure subtlety of the film's true humor lets it layer like a well constructed Lego city, allowing the kids to enjoy the over-the-top characters on the surface, and letting the adults come back a second time to catch all the jokes they missed the first time, because it's impossible to take it all in in one sitting (I speak from experience).The jokes didn??t stop there, though. Not only did they nail the Batman/DC jokes, but they used their license agreements to hit every fandom from Harry Potter to Doctor Who. Pandering? Oh yeah. Effective? Like Bat-shark repellent. Audiences roared over the clash of cultures, making it fun for Batman fans and haters alike.This wasn??t the only impressive side of Lego Batman. As previously stated, humor comes naturally. What was really impressive was that the characters and story were so well written that it allowed the audience to emotionally connect with caricatures. The rule of thumb is that the more closely a character hits home, the easier it is to connect with, yet by the end of the film I felt myself caring for a character played by Michael Cera; a feat I never thought was possible. Even The Joker tugged at heartstrings as he desperately tried to be hated by his mortal enemy in this clever take on what was essentially a relationship comedy.Now this is not to say that you have to go see it, or that it??s destined to win an Oscar for its clever ploys and fresh takes on tired tales. No, this is saying you should go see it twice, and that it should win an Oscar. See what put the ??go?? in Lego.
 Dougas C 	  Very humorous and original.
 luis m 	  best movie EVER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1
 Ted L 	  what i liked about it was that every minute of it was funny,or had a lot of action. what i didn't like about it was is that there wasn't enough humor. Also they didn't show much of the other characters feelings and actions.
 Jeff P 	  The best writing is in the various previews, the story was too all over the map and over the top, attempting to distract kids with an excessively short attention span and still entertain adults. Too much was like nails on a chalkboard, just waiting for it to be done.
 Brennan M 	  It was an amazing movie with a lot of laugh out loud moments. It did kinda butcher the Batman franchise though.
 Thomas W 	  DC remembered how to have fun!
 Todd L 	  Not as fun as the Lego Movie, but a nice bit of deconstructive comedy about the Dork Knight.
 Ricky W 	  Na Na Na Na Na Na Naa. Batman!
 Israel Z 	  Good movie for everyone.
 Monty D 	  Is it weird that I find the joker and Harley Quinn in this movie better and more developed then the joker and Harley Quinn in Suicide squad? No. It's not weird. It is very true.
 Jose H 	  Not exactly meant for adults but you can get some laughs out of this movie but personally not a big fan on the way the movie layout is.
 Jesse G 	  A worthy follow up to The Lego Movie but one that stands on it's own two legs. Well worth the the ticket price.
 Claus M 	  Funniest movie I've seen in a long, long time. I took a 9, 11, and 13 year old to see it. There were some jokes and references only an older person would get. I'm going to see it again only because there's so much to catch and the movie just hits the jokes with rapid fire.
 Brayden R 	  This lego movie definitely meets expectations!?
